TimeGenerated,AccountName,OperationName,AuthenticationType,CallerIpAddress,RequesterObjectId,RequesterUpn,RequesterAppId,Uri,ObjectKey,StatusCode,StatusText,ResponseBodySize,RequestBodySize,UserAgentHeader,Category,Protocol,TlsVersion,CorrelationId
2026-06-10T08:12:44Z,stcontosofin,GetBlob,OAuth,52.170.12.45:48122,b7e2c1a0-2071-4a55-9c31-aa0011223344,alexw@contoso.com,04b07795-8ddb-461a-bbee-02f9e1bf7b46,https://stcontosofin.blob.core.windows.net/finance/reports/2026-Q1-summary.xlsx,/stcontosofin/finance/reports/2026-Q1-summary.xlsx,200,Success,184320,0,"Microsoft Azure Storage Explorer, 1.32.1",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e01
2026-06-10T08:31:18Z,stcontosofin,GetBlob,OAuth,52.170.12.45:48590,c9f4d3b2-3702-4c66-8d42-bb0011224455,jamest@contoso.com,04b07795-8ddb-461a-bbee-02f9e1bf7b46,https://stcontosofin.blob.core.windows.net/finance/templates/expense-form.docx,/stcontosofin/finance/templates/expense-form.docx,200,Success,40960,0,"azsdk-net-Storage.Blobs/12.19.1 (.NET 8.0.4)",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e02
2026-06-10T08:47:55Z,stcontosofin,PutBlob,OAuth,20.98.111.30:51233,d1e5f4c3-4711-4d77-9e53-cc0011225566,svc-backup@contoso.com,a8f7b210-1c2d-4e3f-90ab-1122334455aa,https://stcontosofin.blob.core.windows.net/backups/nightly/ledger-2026-06-09.bak,/stcontosofin/backups/nightly/ledger-2026-06-09.bak,201,Created,0,52428800,"azcopy/10.24.0 Azure-Storage/0.15",StorageWrite,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e03
2026-06-10T09:05:02Z,stcontosofin,ListBlobs,OAuth,20.98.111.30:51780,d1e5f4c3-4711-4d77-9e53-cc0011225566,svc-backup@contoso.com,a8f7b210-1c2d-4e3f-90ab-1122334455aa,https://stcontosofin.blob.core.windows.net/backups?comp=list,/stcontosofin/backups,200,Success,8192,0,"azcopy/10.24.0 Azure-Storage/0.15",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e04
2026-06-10T09:22:41Z,stcontosofin,GetBlob,OAuth,52.170.12.45:49001,b7e2c1a0-2071-4a55-9c31-aa0011223344,alexw@contoso.com,04b07795-8ddb-461a-bbee-02f9e1bf7b46,https://stcontosofin.blob.core.windows.net/finance/reports/payroll-2026-05.xlsx,/stcontosofin/finance/reports/payroll-2026-05.xlsx,200,Success,229376,0,"Microsoft Azure Storage Explorer, 1.32.1",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e05
2026-06-10T09:48:33Z,stcontosofin,GetBlobProperties,OAuth,20.98.111.30:52004,d1e5f4c3-4711-4d77-9e53-cc0011225566,svc-backup@contoso.com,a8f7b210-1c2d-4e3f-90ab-1122334455aa,https://stcontosofin.blob.core.windows.net/backups/nightly/ledger-2026-06-09.bak,/stcontosofin/backups/nightly/ledger-2026-06-09.bak,200,Success,0,0,"azcopy/10.24.0 Azure-Storage/0.15",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e06
2026-06-10T10:17:52Z,stcontosofin,ListBlobs,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance?comp=list&prefix=,/stcontosofin/finance,200,Success,28672,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a01
2026-06-10T10:18:09Z,stcontosofin,ListBlobs,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance?comp=list&prefix=reports/,/stcontosofin/finance,200,Success,21504,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a02
2026-06-10T10:18:44Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/reports/payroll-2026-05.xlsx,/stcontosofin/finance/reports/payroll-2026-05.xlsx,200,Success,229376,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a03
2026-06-10T10:19:01Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/reports/2026-Q1-summary.xlsx,/stcontosofin/finance/reports/2026-Q1-summary.xlsx,200,Success,184320,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a04
