
TimeGenerated,UserPrincipalName,AccountName,SourceIP,DestinationIP,Computer,CorrelationId,EventName,EventID,LogonType
2026-02-01 08:42:00,user1@contoso.com,user1,203.0.113.10,10.0.0.1,HOST01,session_01,RDPLogin,4648,RDP
2026-02-01 08:46:00,user1@contoso.com,user1,203.0.113.10,10.0.0.2,HOST01,session_01,RDPLogin,4648,RDP
2026-02-01 08:50:00,user1@contoso.com,user1,203.0.113.10,10.0.0.3,HOST01,session_01,RemoteDesktopConnect,4624,RDP
2026-02-01 08:54:00,user1@contoso.com,user1,203.0.113.10,10.0.0.4,HOST01,session_01,RemoteDesktopConnect,4624,RDP
2026-02-01 08:58:00,user1@contoso.com,user1,203.0.113.10,10.0.0.5,HOST01,session_01,RemoteServiceStart,4648,RDP
2026-02-01 09:02:00,user1@contoso.com,user1,203.0.113.10,10.0.0.6,HOST01,session_01,RDPLogin,4625,RDP
2026-02-01 09:06:00,user1@contoso.com,user1,203.0.113.10,10.0.0.7,HOST01,session_01,RDPLogin,4624,RDP
2026-02-01 09:10:00,user1@contoso.com,user1,203.0.113.10,10.0.0.8,HOST01,session_01,RemoteDesktopConnect,4648,RDP
2026-02-01 09:14:00,user1@contoso.com,user1,203.0.113.10,10.0.0.9,HOST01,session_01,RDPLogin,4625,RDP
2026-02-01 09:18:00,user1@contoso.com,user1,203.0.113.10,10.0.0.10,HOST01,session_01,RemoteServiceStart,4625,RDP
2026-02-02 08:42:00,user2@contoso.com,user2,203.0.113.11,10.0.0.1,HOST02,session_02,RemoteServiceStart,4648,RDP
2026-02-02 08:46:00,user2@contoso.com,user2,203.0.113.11,10.0.0.2,HOST02,session_02,RemoteServiceStart,4624,RDP
2026-02-02 08:50:00,user2@contoso.com,user2,203.0.113.11,10.0.0.3,HOST02,session_02,RemoteDesktopConnect,4648,RDP
2026-02-02 08:54:00,user2@contoso.com,user2,203.0.113.11,10.0.0.4,HOST02,session_02,RDPLogin,4624,RDP
2026-02-02 08:58:00,user2@contoso.com,user2,203.0.113.11,10.0.0.5,HOST02,session_02,RemoteDesktopConnect,4625,RDP
2026-02-02 09:02:00,user2@contoso.com,user2,203.0.113.11,10.0.0.6,HOST02,session_02,RemoteDesktopConnect,4648,RDP
2026-02-02 09:06:00,user2@contoso.com,user2,203.0.113.11,10.0.0.7,HOST02,session_02,RDPLogin,4624,RDP
2026-02-02 09:10:00,user2@contoso.com,user2,203.0.113.11,10.0.0.8,HOST02,session_02,RemoteDesktopConnect,4625,RDP
2026-02-02 09:14:00,user2@contoso.com,user2,203.0.113.11,10.0.0.9,HOST02,session_02,RemoteDesktopConnect,4625,RDP
2026-02-02 09:18:00,user2@contoso.com,user2,203.0.113.11,10.0.0.10,HOST02,session_02,RDPLogin,4625,RDP
2026-02-03 08:42:00,user3@contoso.com,user3,203.0.113.12,10.0.0.1,HOST03,session_03,RemoteDesktopConnect,4648,RDP
2026-02-03 08:46:00,user3@contoso.com,user3,203.0.113.12,10.0.0.2,HOST03,session_03,RemoteServiceStart,4648,RDP
2026-02-03 08:50:00,user3@contoso.com,user3,203.0.113.12,10.0.0.3,HOST03,session_03,RemoteDesktopConnect,4624,RDP
2026-02-03 08:54:00,user3@contoso.com,user3,203.0.113.12,10.0.0.4,HOST03,session_03,RemoteDesktopConnect,4648,RDP
2026-02-03 08:58:00,user3@contoso.com,user3,203.0.113.12,10.0.0.5,HOST03,session_03,RDPLogin,4625,RDP
2026-02-03 09:02:00,user3@contoso.com,user3,203.0.113.12,10.0.0.6,HOST03,session_03,RemoteServiceStart,4624,RDP
2026-02-03 09:06:00,user3@contoso.com,user3,203.0.113.12,10.0.0.7,HOST03,session_03,RemoteServiceStart,4624,RDP
2026-02-03 09:10:00,user3@contoso.com,user3,203.0.113.12,10.0.0.8,HOST03,session_03,RemoteDesktopConnect,4625,RDP
2026-02-03 09:14:00,user3@contoso.com,user3,203.0.113.12,10.0.0.9,HOST03,session_03,RemoteServiceStart,4625,RDP
2026-02-03 09:18:00,user3@contoso.com,user3,203.0.113.12,10.0.0.10,HOST03,session_03,RDPLogin,4648,RDP
2026-02-04 08:42:00,user4@contoso.com,user4,203.0.113.13,10.0.0.1,HOST04,session_04,RemoteDesktopConnect,4624,RDP
2026-02-04 08:46:00,user4@contoso.com,user4,203.0.113.13,10.0.0.2,HOST04,session_04,RDPLogin,4625,RDP
2026-02-04 08:50:00,user4@contoso.com,user4,203.0.113.13,10.0.0.3,HOST04,session_04,RemoteServiceStart,4625,RDP
